REF_DATE,GEO,Statistic,Before-tax household income quintile,"Household expenditures, summary-level categories",UOM,COORDINATE,Expense,Family type,Age of older adult,Family income,Income
2010,Province 8,Average expenditure per household,Lowest quintile,Household operations,Dollars,C741,2038.0,Couple families,0 to 24 years,"$45,000 and over",190.0
2010,Province 8,Average expenditure per household,Lowest quintile,Communications,Dollars,C742,1180.0,Couple families,0 to 24 years,"$50,000 and over",150.0
2010,Province 8,Average expenditure per household,Lowest quintile,Household furnishings and equipment,Dollars,C743,708.0,Couple families,0 to 24 years,"$60,000 and over",90.0
2010,Province 8,Average expenditure per household,Lowest quintile,Household furnishings,Dollars,C744,288.0,Couple families,0 to 24 years,"$70,000 and over",50.0
2010,Province 8,Average expenditure per household,Lowest quintile,Household equipment,Dollars,C745,344.0,Couple families,0 to 24 years,"$75,000 and over",50.0
2010,Province 8,Average expenditure per household,Lowest quintile,Household appliances,Dollars,C746,185.0,Couple families,0 to 24 years,"$80,000 and over",50.0
2010,Province 8,Average expenditure per household,Lowest quintile,Clothing and accessories,Dollars,C747,1363.0,Couple families,0 to 24 years,"$90,000 and over",30.0
2010,Province 8,Average expenditure per household,Lowest quintile,Transportation,Dollars,C748,4199.0,Couple families,0 to 24 years,Median total income,36680.0
2010,Province 8,Average expenditure per household,Second quintile,Total expenditure,Dollars,C749,45878.0,Couple families,25 to 34 years,All income groups,3610.0
2010,Province 8,Average expenditure per household,Second quintile,Food purchased from stores,Dollars,C750,4817.0,Couple families,25 to 34 years,"Under $10,000",50.0
2010,Province 8,Average expenditure per household,Second quintile,Food purchased from restaurants,Dollars,C751,1259.0,Couple families,25 to 34 years,"$10,000 and over",3560.0
2010,Province 8,Average expenditure per household,Second quintile,Shelter,Dollars,C752,13452.0,Couple families,25 to 34 years,"$15,000 and over",3530.0
2010,Province 8,Average expenditure per household,Second quintile,Principal accommodation,Dollars,C753,12556.0,Couple families,25 to 34 years,"$20,000 and over",3460.0
2010,Province 8,Average expenditure per household,Second quintile,Rented living quarters,Dollars,C754,4545.0,Couple families,25 to 34 years,"$25,000 and over",3380.0
2010,Province 8,Average expenditure per household,Second quintile,Owned living quarters,Dollars,C755,6052.0,Couple families,25 to 34 years,"$30,000 and over",3260.0
2010,Province 8,Average expenditure per household,Second quintile,"Water, fuel and electricity for principal accommodation",Dollars,C756,1959.0,Couple families,25 to 34 years,"$35,000 and over",3150.0
2010,Province 8,Average expenditure per household,Second quintile,Other accommodation,Dollars,C757,,Couple families,25 to 34 years,"$40,000 and over",3010.0
2010,Province 8,Average expenditure per household,Second quintile,Household operations,Dollars,C758,2741.0,Couple families,25 to 34 years,"$45,000 and over",2830.0
2010,Province 8,Average expenditure per household,Second quintile,Communications,Dollars,C759,1512.0,Couple families,25 to 34 years,"$50,000 and over",2640.0
2010,Province 8,Average expenditure per household,Second quintile,Household furnishings and equipment,Dollars,C760,1441.0,Couple families,25 to 34 years,"$60,000 and over",2280.0
2010,Province 8,Average expenditure per household,Second quintile,Household furnishings,Dollars,C761,632.0,Couple families,25 to 34 years,"$70,000 and over",1890.0
2010,Province 8,Average expenditure per household,Second quintile,Household equipment,Dollars,C762,714.0,Couple families,25 to 34 years,"$75,000 and over",1720.0
2010,Province 8,Average expenditure per household,Second quintile,Household appliances,Dollars,C763,262.0,Couple families,25 to 34 years,"$80,000 and over",1560.0
2010,Province 8,Average expenditure per household,Second quintile,Clothing and accessories,Dollars,C764,2611.0,Couple families,25 to 34 years,"$90,000 and over",1220.0
2010,Province 8,Average expenditure per household,Second quintile,Transportation,Dollars,C765,7843.0,Couple families,25 to 34 years,Median total income,72620.0
2010,Province 8,Average expenditure per household,Third quintile,Total expenditure,Dollars,C766,64051.0,Couple families,35 to 44 years,All income groups,5710.0
2010,Province 8,Average expenditure per household,Third quintile,Food purchased from stores,Dollars,C767,4974.0,Couple families,35 to 44 years,"Under $10,000",90.0
2010,Province 8,Average expenditure per household,Third quintile,Food purchased from restaurants,Dollars,C768,1730.0,Couple families,35 to 44 years,"$10,000 and over",5620.0
2010,Province 8,Average expenditure per household,Third quintile,Shelter,Dollars,C769,16536.0,Couple families,35 to 44 years,"$15,000 and over",5570.0
2010,Province 8,Average expenditure per household,Third quintile,Principal accommodation,Dollars,C770,14887.0,Couple families,35 to 44 years,"$20,000 and over",5520.0
2010,Province 8,Average expenditure per household,Third quintile,Rented living quarters,Dollars,C771,3033.0,Couple families,35 to 44 years,"$25,000 and over",5440.0
2010,Province 8,Average expenditure per household,Third quintile,Owned living quarters,Dollars,C772,9386.0,Couple families,35 to 44 years,"$30,000 and over",5360.0
2010,Province 8,Average expenditure per household,Third quintile,"Water, fuel and electricity for principal accommodation",Dollars,C773,2468.0,Couple families,35 to 44 years,"$35,000 and over",5230.0
2010,Province 8,Average expenditure per household,Third quintile,Other accommodation,Dollars,C774,1648.0,Couple families,35 to 44 years,"$40,000 and over",5130.0
2010,Province 8,Average expenditure per household,Third quintile,Household operations,Dollars,C775,3362.0,Couple families,35 to 44 years,"$45,000 and over",4970.0
2010,Province 8,Average expenditure per household,Third quintile,Communications,Dollars,C776,1805.0,Couple families,35 to 44 years,"$50,000 and over",4780.0
2010,Province 8,Average expenditure per household,Third quintile,Household furnishings and equipment,Dollars,C777,2095.0,Couple families,35 to 44 years,"$60,000 and over",4400.0
2010,Province 8,Average expenditure per household,Third quintile,Household furnishings,Dollars,C778,1080.0,Couple families,35 to 44 years,"$70,000 and over",3930.0
2010,Province 8,Average expenditure per household,Third quintile,Household equipment,Dollars,C779,893.0,Couple families,35 to 44 years,"$75,000 and over",3690.0
2010,Province 8,Average expenditure per household,Third quintile,Household appliances,Dollars,C780,399.0,Couple families,35 to 44 years,"$80,000 and over",3450.0
2010,Province 8,Average expenditure per household,Third quintile,Clothing and accessories,Dollars,C781,3196.0,Couple families,35 to 44 years,"$90,000 and over",2940.0
2010,Province 8,Average expenditure per household,Third quintile,Transportation,Dollars,C782,10790.0,Couple families,35 to 44 years,Median total income,91480.0
2010,Province 8,Average expenditure per household,Fourth quintile,Total expenditure,Dollars,C783,88592.0,Couple families,45 to 54 years,All income groups,7250.0
2010,Province 8,Average expenditure per household,Fourth quintile,Food purchased from stores,Dollars,C784,6647.0,Couple families,45 to 54 years,"Under $10,000",80.0
2010,Province 8,Average expenditure per household,Fourth quintile,Food purchased from restaurants,Dollars,C785,2889.0,Couple families,45 to 54 years,"$10,000 and over",7170.0
2010,Province 8,Average expenditure per household,Fourth quintile,Shelter,Dollars,C786,18775.0,Couple families,45 to 54 years,"$15,000 and over",7080.0
2010,Province 8,Average expenditure per household,Fourth quintile,Principal accommodation,Dollars,C787,17173.0,Couple families,45 to 54 years,"$20,000 and over",7000.0
2010,Province 8,Average expenditure per household,Fourth quintile,Rented living quarters,Dollars,C788,2460.0,Couple families,45 to 54 years,"$25,000 and over",6920.0
2010,Province 8,Average expenditure per household,Fourth quintile,Owned living quarters,Dollars,C789,11746.0,Couple families,45 to 54 years,"$30,000 and over",6820.0
2010,Province 8,Average expenditure per household,Fourth quintile,"Water, fuel and electricity for principal accommodation",Dollars,C790,2968.0,Couple families,45 to 54 years,"$35,000 and over",6700.0
2010,Province 8,Average expenditure per household,Fourth quintile,Other accommodation,Dollars,C791,1602.0,Couple families,45 to 54 years,"$40,000 and over",6560.0
2010,Province 8,Average expenditure per household,Fourth quintile,Household operations,Dollars,C792,4453.0,Couple families,45 to 54 years,"$45,000 and over",6360.0
2010,Province 8,Average expenditure per household,Fourth quintile,Communications,Dollars,C793,2219.0,Couple families,45 to 54 years,"$50,000 and over",6160.0
2010,Province 8,Average expenditure per household,Fourth quintile,Household furnishings and equipment,Dollars,C794,2064.0,Couple families,45 to 54 years,"$60,000 and over",5760.0
2010,Province 8,Average expenditure per household,Fourth quintile,Household furnishings,Dollars,C795,942.0,Couple families,45 to 54 years,"$70,000 and over",5260.0
2010,Province 8,Average expenditure per household,Fourth quintile,Household equipment,Dollars,C796,922.0,Couple families,45 to 54 years,"$75,000 and over",4990.0
2010,Province 8,Average expenditure per household,Fourth quintile,Household appliances,Dollars,C797,428.0,Couple families,45 to 54 years,"$80,000 and over",4720.0
2010,Province 8,Average expenditure per household,Fourth quintile,Clothing and accessories,Dollars,C798,4742.0,Couple families,45 to 54 years,"$90,000 and over",4190.0
2010,Province 8,Average expenditure per household,Fourth quintile,Transportation,Dollars,C799,15528.0,Couple families,45 to 54 years,Median total income,100690.0
2010,Province 8,Average expenditure per household,Highest quintile,Total expenditure,Dollars,C800,149656.0,Couple families,55 to 64 years,All income groups,6680.0
2010,Province 8,Average expenditure per household,Highest quintile,Food purchased from stores,Dollars,C801,7866.0,Couple families,55 to 64 years,"Under $10,000",70.0
2010,Province 8,Average expenditure per household,Highest quintile,Food purchased from restaurants,Dollars,C802,3872.0,Couple families,55 to 64 years,"$10,000 and over",6610.0
2010,Province 8,Average expenditure per household,Highest quintile,Shelter,Dollars,C803,25173.0,Couple families,55 to 64 years,"$15,000 and over",6480.0
2010,Province 8,Average expenditure per household,Highest quintile,Principal accommodation,Dollars,C804,21400.0,Couple families,55 to 64 years,"$20,000 and over",6370.0
2010,Province 8,Average expenditure per household,Highest quintile,Rented living quarters,Dollars,C805,990.0,Couple families,55 to 64 years,"$25,000 and over",6260.0
2010,Province 8,Average expenditure per household,Highest quintile,Owned living quarters,Dollars,C806,16735.0,Couple families,55 to 64 years,"$30,000 and over",6100.0
2010,Province 8,Average expenditure per household,Highest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C807,3675.0,Couple families,55 to 64 years,"$35,000 and over",5920.0
2010,Province 8,Average expenditure per household,Highest quintile,Other accommodation,Dollars,C808,3774.0,Couple families,55 to 64 years,"$40,000 and over",5720.0
2010,Province 8,Average expenditure per household,Highest quintile,Household operations,Dollars,C809,7274.0,Couple families,55 to 64 years,"$45,000 and over",5490.0
2010,Province 8,Average expenditure per household,Highest quintile,Communications,Dollars,C810,2504.0,Couple families,55 to 64 years,"$50,000 and over",5220.0
2010,Province 8,Average expenditure per household,Highest quintile,Household furnishings and equipment,Dollars,C811,4158.0,Couple families,55 to 64 years,"$60,000 and over",4640.0
2010,Province 8,Average expenditure per household,Highest quintile,Household furnishings,Dollars,C812,2012.0,Couple families,55 to 64 years,"$70,000 and over",4070.0
2010,Province 8,Average expenditure per household,Highest quintile,Household equipment,Dollars,C813,1724.0,Couple families,55 to 64 years,"$75,000 and over",3760.0
2010,Province 8,Average expenditure per household,Highest quintile,Household appliances,Dollars,C814,721.0,Couple families,55 to 64 years,"$80,000 and over",3480.0
2010,Province 8,Average expenditure per household,Highest quintile,Clothing and accessories,Dollars,C815,6263.0,Couple families,55 to 64 years,"$90,000 and over",2960.0
2010,Province 8,Average expenditure per household,Highest quintile,Transportation,Dollars,C816,19857.0,Couple families,55 to 64 years,Median total income,82920.0
2010,Province 9,Average expenditure per household,All quintiles,Total expenditure,Dollars,C817,81447.0,Couple families,Total all ages,All income groups,1871780.0
2010,Province 9,Average expenditure per household,All quintiles,Food purchased from stores,Dollars,C818,5973.0,Couple families,Total all ages,"Under $10,000",28830.0
2010,Province 9,Average expenditure per household,All quintiles,Food purchased from restaurants,Dollars,C819,2367.0,Couple families,Total all ages,"$10,000 and over",1842960.0
2010,Province 9,Average expenditure per household,All quintiles,Shelter,Dollars,C820,15886.0,Couple families,Total all ages,"$15,000 and over",1821450.0
2010,Province 9,Average expenditure per household,All quintiles,Principal accommodation,Dollars,C821,14170.0,Couple families,Total all ages,"$20,000 and over",1789330.0
2010,Province 9,Average expenditure per household,All quintiles,Rented living quarters,Dollars,C822,2919.0,Couple families,Total all ages,"$25,000 and over",1744800.0
2010,Province 9,Average expenditure per household,All quintiles,Owned living quarters,Dollars,C823,8508.0,Couple families,Total all ages,"$30,000 and over",1661400.0
2010,Province 9,Average expenditure per household,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C824,2742.0,Couple families,Total all ages,"$35,000 and over",1570550.0
2010,Province 9,Average expenditure per household,All quintiles,Other accommodation,Dollars,C825,1716.0,Couple families,Total all ages,"$40,000 and over",1484330.0
2010,Province 9,Average expenditure per household,All quintiles,Household operations,Dollars,C826,4303.0,Couple families,Total all ages,"$45,000 and over",1397100.0
2010,Province 9,Average expenditure per household,All quintiles,Communications,Dollars,C827,2052.0,Couple families,Total all ages,"$50,000 and over",1309040.0
2010,Province 9,Average expenditure per household,All quintiles,Household furnishings and equipment,Dollars,C828,2357.0,Couple families,Total all ages,"$60,000 and over",1133120.0
2010,Province 9,Average expenditure per household,All quintiles,Household furnishings,Dollars,C829,1075.0,Couple families,Total all ages,"$70,000 and over",962880.0
2010,Province 9,Average expenditure per household,All quintiles,Household equipment,Dollars,C830,1180.0,Couple families,Total all ages,"$75,000 and over",881190.0
2010,Province 9,Average expenditure per household,All quintiles,Household appliances,Dollars,C831,536.0,Couple families,Total all ages,"$80,000 and over",803420.0
2010,Province 9,Average expenditure per household,All quintiles,Clothing and accessories,Dollars,C832,3836.0,Couple families,Total all ages,"$90,000 and over",661500.0
2010,Province 9,Average expenditure per household,All quintiles,Transportation,Dollars,C833,12193.0,Couple families,Total all ages,Median total income,71610.0
2010,Province 9,Average expenditure per household,Lowest quintile,Total expenditure,Dollars,C834,33841.0,Couple families,0 to 24 years,All income groups,31530.0
2010,Province 9,Average expenditure per household,Lowest quintile,Food purchased from stores,Dollars,C835,3658.0,Couple families,0 to 24 years,"Under $10,000",1810.0
2010,Province 9,Average expenditure per household,Lowest quintile,Food purchased from restaurants,Dollars,C836,1190.0,Couple families,0 to 24 years,"$10,000 and over",29720.0
2010,Province 9,Average expenditure per household,Lowest quintile,Shelter,Dollars,C837,9342.0,Couple families,0 to 24 years,"$15,000 and over",27860.0
2010,Province 9,Average expenditure per household,Lowest quintile,Principal accommodation,Dollars,C838,8824.0,Couple families,0 to 24 years,"$20,000 and over",25360.0
2010,Province 9,Average expenditure per household,Lowest quintile,Rented living quarters,Dollars,C839,4530.0,Couple families,0 to 24 years,"$25,000 and over",22520.0
2010,Province 9,Average expenditure per household,Lowest quintile,Owned living quarters,Dollars,C840,2702.0,Couple families,0 to 24 years,"$30,000 and over",19680.0
2010,Province 9,Average expenditure per household,Lowest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C841,1591.0,Couple families,0 to 24 years,"$35,000 and over",16650.0
2010,Province 9,Average expenditure per household,Lowest quintile,Other accommodation,Dollars,C842,518.0,Couple families,0 to 24 years,"$40,000 and over",13780.0
2010,Province 9,Average expenditure per household,Lowest quintile,Household operations,Dollars,C843,2297.0,Couple families,0 to 24 years,"$45,000 and over",11190.0
2010,Province 9,Average expenditure per household,Lowest quintile,Communications,Dollars,C844,1159.0,Couple families,0 to 24 years,"$50,000 and over",8910.0
2010,Province 9,Average expenditure per household,Lowest quintile,Household furnishings and equipment,Dollars,C845,1161.0,Couple families,0 to 24 years,"$60,000 and over",5370.0
2010,Province 9,Average expenditure per household,Lowest quintile,Household furnishings,Dollars,C846,543.0,Couple families,0 to 24 years,"$70,000 and over",3050.0
2010,Province 9,Average expenditure per household,Lowest quintile,Household equipment,Dollars,C847,582.0,Couple families,0 to 24 years,"$75,000 and over",2240.0
2010,Province 9,Average expenditure per household,Lowest quintile,Household appliances,Dollars,C848,349.0,Couple families,0 to 24 years,"$80,000 and over",1630.0
2010,Province 9,Average expenditure per household,Lowest quintile,Clothing and accessories,Dollars,C849,1728.0,Couple families,0 to 24 years,"$90,000 and over",850.0
2010,Province 9,Average expenditure per household,Lowest quintile,Transportation,Dollars,C850,5822.0,Couple families,0 to 24 years,Median total income,36520.0
2010,Province 9,Average expenditure per household,Second quintile,Total expenditure,Dollars,C851,50217.0,Couple families,25 to 34 years,All income groups,262410.0
2010,Province 9,Average expenditure per household,Second quintile,Food purchased from stores,Dollars,C852,4842.0,Couple families,25 to 34 years,"Under $10,000",6540.0
2010,Province 9,Average expenditure per household,Second quintile,Food purchased from restaurants,Dollars,C853,1910.0,Couple families,25 to 34 years,"$10,000 and over",255870.0
2010,Province 9,Average expenditure per household,Second quintile,Shelter,Dollars,C854,12343.0,Couple families,25 to 34 years,"$15,000 and over",251200.0
2010,Province 9,Average expenditure per household,Second quintile,Principal accommodation,Dollars,C855,11612.0,Couple families,25 to 34 years,"$20,000 and over",245590.0
2010,Province 9,Average expenditure per household,Second quintile,Rented living quarters,Dollars,C856,3865.0,Couple families,25 to 34 years,"$25,000 and over",238580.0
2010,Province 9,Average expenditure per household,Second quintile,Owned living quarters,Dollars,C857,5438.0,Couple families,25 to 34 years,"$30,000 and over",230560.0
2010,Province 9,Average expenditure per household,Second quintile,"Water, fuel and electricity for principal accommodation",Dollars,C858,2309.0,Couple families,25 to 34 years,"$35,000 and over",221710.0
2010,Province 9,Average expenditure per household,Second quintile,Other accommodation,Dollars,C859,731.0,Couple families,25 to 34 years,"$40,000 and over",211120.0
2010,Province 9,Average expenditure per household,Second quintile,Household operations,Dollars,C860,3046.0,Couple families,25 to 34 years,"$45,000 and over",199100.0
2010,Province 9,Average expenditure per household,Second quintile,Communications,Dollars,C861,1676.0,Couple families,25 to 34 years,"$50,000 and over",185560.0
2010,Province 9,Average expenditure per household,Second quintile,Household furnishings and equipment,Dollars,C862,1278.0,Couple families,25 to 34 years,"$60,000 and over",156510.0
2010,Province 9,Average expenditure per household,Second quintile,Household furnishings,Dollars,C863,624.0,Couple families,25 to 34 years,"$70,000 and over",125880.0
2010,Province 9,Average expenditure per household,Second quintile,Household equipment,Dollars,C864,612.0,Couple families,25 to 34 years,"$75,000 and over",111080.0
2010,Province 9,Average expenditure per household,Second quintile,Household appliances,Dollars,C865,289.0,Couple families,25 to 34 years,"$80,000 and over",96680.0
2010,Province 9,Average expenditure per household,Second quintile,Clothing and accessories,Dollars,C866,2483.0,Couple families,25 to 34 years,"$90,000 and over",71140.0
2010,Province 9,Average expenditure per household,Second quintile,Transportation,Dollars,C867,8587.0,Couple families,25 to 34 years,Median total income,68230.0
2010,Province 9,Average expenditure per household,Third quintile,Total expenditure,Dollars,C868,70636.0,Couple families,35 to 44 years,All income groups,355740.0
2010,Province 9,Average expenditure per household,Third quintile,Food purchased from stores,Dollars,C869,6162.0,Couple families,35 to 44 years,"Under $10,000",8140.0
2010,Province 9,Average expenditure per household,Third quintile,Food purchased from restaurants,Dollars,C870,2031.0,Couple families,35 to 44 years,"$10,000 and over",347610.0
2010,Province 9,Average expenditure per household,Third quintile,Shelter,Dollars,C871,16106.0,Couple families,35 to 44 years,"$15,000 and over",342670.0
2010,Province 9,Average expenditure per household,Third quintile,Principal accommodation,Dollars,C872,14430.0,Couple families,35 to 44 years,"$20,000 and over",336710.0
2010,Province 9,Average expenditure per household,Third quintile,Rented living quarters,Dollars,C873,3151.0,Couple families,35 to 44 years,"$25,000 and over",329220.0
2010,Province 9,Average expenditure per household,Third quintile,Owned living quarters,Dollars,C874,8431.0,Couple families,35 to 44 years,"$30,000 and over",320600.0
2010,Province 9,Average expenditure per household,Third quintile,"Water, fuel and electricity for principal accommodation",Dollars,C875,2849.0,Couple families,35 to 44 years,"$35,000 and over",311320.0
2010,Province 9,Average expenditure per household,Third quintile,Other accommodation,Dollars,C876,1676.0,Couple families,35 to 44 years,"$40,000 and over",300690.0
2010,Province 9,Average expenditure per household,Third quintile,Household operations,Dollars,C877,4264.0,Couple families,35 to 44 years,"$45,000 and over",288720.0
2010,Province 9,Average expenditure per household,Third quintile,Communications,Dollars,C878,2260.0,Couple families,35 to 44 years,"$50,000 and over",275190.0
2010,Province 9,Average expenditure per household,Third quintile,Household furnishings and equipment,Dollars,C879,2017.0,Couple families,35 to 44 years,"$60,000 and over",246480.0
2010,Province 9,Average expenditure per household,Third quintile,Household furnishings,Dollars,C880,945.0,Couple families,35 to 44 years,"$70,000 and over",215460.0
2010,Province 9,Average expenditure per household,Third quintile,Household equipment,Dollars,C881,983.0,Couple families,35 to 44 years,"$75,000 and over",199050.0
2010,Province 9,Average expenditure per household,Third quintile,Household appliances,Dollars,C882,456.0,Couple families,35 to 44 years,"$80,000 and over",183080.0
2010,Province 9,Average expenditure per household,Third quintile,Clothing and accessories,Dollars,C883,3450.0,Couple families,35 to 44 years,"$90,000 and over",152230.0
2010,Province 9,Average expenditure per household,Third quintile,Transportation,Dollars,C884,11380.0,Couple families,35 to 44 years,Median total income,81630.0
2010,Province 9,Average expenditure per household,Fourth quintile,Total expenditure,Dollars,C885,93461.0,Couple families,45 to 54 years,All income groups,431490.0
2010,Province 9,Average expenditure per household,Fourth quintile,Food purchased from stores,Dollars,C886,7221.0,Couple families,45 to 54 years,"Under $10,000",6060.0
2010,Province 9,Average expenditure per household,Fourth quintile,Food purchased from restaurants,Dollars,C887,2649.0,Couple families,45 to 54 years,"$10,000 and over",425430.0
2010,Province 9,Average expenditure per household,Fourth quintile,Shelter,Dollars,C888,18157.0,Couple families,45 to 54 years,"$15,000 and over",421890.0
2010,Province 9,Average expenditure per household,Fourth quintile,Principal accommodation,Dollars,C889,16423.0,Couple families,45 to 54 years,"$20,000 and over",416340.0
2010,Province 9,Average expenditure per household,Fourth quintile,Rented living quarters,Dollars,C890,1410.0,Couple families,45 to 54 years,"$25,000 and over",409560.0
2010,Province 9,Average expenditure per household,Fourth quintile,Owned living quarters,Dollars,C891,11793.0,Couple families,45 to 54 years,"$30,000 and over",401660.0
2010,Province 9,Average expenditure per household,Fourth quintile,"Water, fuel and electricity for principal accommodation",Dollars,C892,3220.0,Couple families,45 to 54 years,"$35,000 and over",392610.0
2010,Province 9,Average expenditure per household,Fourth quintile,Other accommodation,Dollars,C893,1734.0,Couple families,45 to 54 years,"$40,000 and over",381560.0
2010,Province 9,Average expenditure per household,Fourth quintile,Household operations,Dollars,C894,4828.0,Couple families,45 to 54 years,"$45,000 and over",369290.0
2010,Province 9,Average expenditure per household,Fourth quintile,Communications,Dollars,C895,2273.0,Couple families,45 to 54 years,"$50,000 and over",355740.0
2010,Province 9,Average expenditure per household,Fourth quintile,Household furnishings and equipment,Dollars,C896,2994.0,Couple families,45 to 54 years,"$60,000 and over",325320.0
2010,Province 9,Average expenditure per household,Fourth quintile,Household furnishings,Dollars,C897,1203.0,Couple families,45 to 54 years,"$70,000 and over",292030.0
2010,Province 9,Average expenditure per household,Fourth quintile,Household equipment,Dollars,C898,1662.0,Couple families,45 to 54 years,"$75,000 and over",274530.0
2010,Province 9,Average expenditure per household,Fourth quintile,Household appliances,Dollars,C899,622.0,Couple families,45 to 54 years,"$80,000 and over",257010.0
2010,Province 9,Average expenditure per household,Fourth quintile,Clothing and accessories,Dollars,C900,4674.0,Couple families,45 to 54 years,"$90,000 and over",222540.0
2010,Province 9,Average expenditure per household,Fourth quintile,Transportation,Dollars,C901,14595.0,Couple families,45 to 54 years,Median total income,92010.0
2010,Province 9,Average expenditure per household,Highest quintile,Total expenditure,Dollars,C902,158710.0,Couple families,55 to 64 years,All income groups,390000.0
2010,Province 9,Average expenditure per household,Highest quintile,Food purchased from stores,Dollars,C903,7987.0,Couple families,55 to 64 years,"Under $10,000",4600.0
2010,Province 9,Average expenditure per household,Highest quintile,Food purchased from restaurants,Dollars,C904,4038.0,Couple families,55 to 64 years,"$10,000 and over",385400.0
2010,Province 9,Average expenditure per household,Highest quintile,Shelter,Dollars,C905,23448.0,Couple families,55 to 64 years,"$15,000 and over",380530.0
2010,Province 9,Average expenditure per household,Highest quintile,Principal accommodation,Dollars,C906,19535.0,Couple families,55 to 64 years,"$20,000 and over",372260.0
2010,Province 9,Average expenditure per household,Highest quintile,Rented living quarters,Dollars,C907,1647.0,Couple families,55 to 64 years,"$25,000 and over",363920.0
2010,Province 9,Average expenditure per household,Highest quintile,Owned living quarters,Dollars,C908,14150.0,Couple families,55 to 64 years,"$30,000 and over",353670.0
2010,Province 9,Average expenditure per household,Highest quintile,"Water, fuel and electricity for principal accommodation",Dollars,C909,3738.0,Couple families,55 to 64 years,"$35,000 and over",341350.0
2010,Province 9,Average expenditure per household,Highest quintile,Other accommodation,Dollars,C910,3913.0,Couple families,55 to 64 years,"$40,000 and over",326160.0
2010,Province 9,Average expenditure per household,Highest quintile,Household operations,Dollars,C911,7069.0,Couple families,55 to 64 years,"$45,000 and over",309250.0
2010,Province 9,Average expenditure per household,Highest quintile,Communications,Dollars,C912,2894.0,Couple families,55 to 64 years,"$50,000 and over",291500.0
2010,Province 9,Average expenditure per household,Highest quintile,Household furnishings and equipment,Dollars,C913,4314.0,Couple families,55 to 64 years,"$60,000 and over",254200.0
2010,Province 9,Average expenditure per household,Highest quintile,Household furnishings,Dollars,C914,2057.0,Couple families,55 to 64 years,"$70,000 and over",217380.0
2010,Province 9,Average expenditure per household,Highest quintile,Household equipment,Dollars,C915,2048.0,Couple families,55 to 64 years,"$75,000 and over",199740.0
2010,Province 9,Average expenditure per household,Highest quintile,Household appliances,Dollars,C916,956.0,Couple families,55 to 64 years,"$80,000 and over",182800.0
2010,Province 9,Average expenditure per household,Highest quintile,Clothing and accessories,Dollars,C917,6830.0,Couple families,55 to 64 years,"$90,000 and over",152520.0
2010,Province 9,Average expenditure per household,Highest quintile,Transportation,Dollars,C918,20547.0,Couple families,55 to 64 years,Median total income,76360.0
2010,Province 10,Average expenditure per household,All quintiles,Total expenditure,Dollars,C919,67908.0,Couple families,Total all ages,All income groups,38700.0
2010,Province 10,Average expenditure per household,All quintiles,Food purchased from stores,Dollars,C920,5437.0,Couple families,Total all ages,"Under $10,000",170.0
2010,Province 10,Average expenditure per household,All quintiles,Food purchased from restaurants,Dollars,C921,2093.0,Couple families,Total all ages,"$10,000 and over",38530.0
2010,Province 10,Average expenditure per household,All quintiles,Shelter,Dollars,C922,12802.0,Couple families,Total all ages,"$15,000 and over",38290.0
2010,Province 10,Average expenditure per household,All quintiles,Principal accommodation,Dollars,C923,11514.0,Couple families,Total all ages,"$20,000 and over",37770.0
2010,Province 10,Average expenditure per household,All quintiles,Rented living quarters,Dollars,C924,2446.0,Couple families,Total all ages,"$25,000 and over",37130.0
2010,Province 10,Average expenditure per household,All quintiles,Owned living quarters,Dollars,C925,6973.0,Couple families,Total all ages,"$30,000 and over",35580.0
2010,Province 10,Average expenditure per household,All quintiles,"Water, fuel and electricity for principal accommodation",Dollars,C926,2094.0,Couple families,Total all ages,"$35,000 and over",33940.0
2010,Province 10,Average expenditure per household,All quintiles,Other accommodation,Dollars,C927,1289.0,Couple families,Total all ages,"$40,000 and over",32340.0
2010,Province 10,Average expenditure per household,All quintiles,Household operations,Dollars,C928,3575.0,Couple families,Total all ages,"$45,000 and over",30510.0
2010,Province 10,Average expenditure per household,All quintiles,Communications,Dollars,C929,1665.0,Couple families,Total all ages,"$50,000 and over",28600.0
2010,Province 10,Average expenditure per household,All quintiles,Household furnishings and equipment,Dollars,C930,1942.0,Couple families,Total all ages,"$60,000 and over",24560.0
2010,Province 10,Average expenditure per household,All quintiles,Household furnishings,Dollars,C931,854.0,Couple families,Total all ages,"$70,000 and over",20800.0
2010,Province 10,Average expenditure per household,All quintiles,Household equipment,Dollars,C932,1008.0,Couple families,Total all ages,"$75,000 and over",19050.0
2010,Province 10,Average expenditure per household,All quintiles,Household appliances,Dollars,C933,453.0,Couple families,Total all ages,"$80,000 and over",17300.0
2010,Province 10,Average expenditure per household,All quintiles,Clothing and accessories,Dollars,C934,3473.0,Couple families,Total all ages,"$90,000 and over",14260.0
2010,Province 10,Average expenditure per household,All quintiles,Transportation,Dollars,C935,10676.0,Couple families,Total all ages,Median total income,74130.0
2010,Province 10,Average expenditure per household,Lowest quintile,Total expenditure,Dollars,C936,28558.0,Couple families,0 to 24 years,All income groups,650.0
2010,Province 10,Average expenditure per household,Lowest quintile,Food purchased from stores,Dollars,C937,3609.0,Couple families,0 to 24 years,"Under $10,000",30.0
